title,link,published,summary,source
Pre-market action: Here's the trade setup for today's session,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/126222297.cms,2025-12-29 06:30:56 IST,"Markets closed the holiday-shortened week with modest gains, continuing a consolidation phase. The upcoming week, marking the transition to 2026, is expected to see increased volatility due to the December F&amp;O expiry. Key domestic data releases and FII/DII actions will be closely watched.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Stocks in news: PNB, IndiGo, Sigachi Industries, Coal India, Coforge",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-pnb-indigo-sigachi-industries-coal-india-coforge/articleshow/126222281.cms,2025-12-29 06:25:36 IST,"Indian markets saw a slight dip, continuing their consolidation phase. Trading activity remained subdued due to low volumes. However, specific company news is creating opportunities. PNB reported a large fraud. IndiGo's market share decreased. Coal India appointed a new CEO. Vedanta received a conditional nod for drilling. Sigachi Industries' MD and CEO was remanded.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Global stocks hold near record, silver falls from peak",https://economictimes.indiatimes.com/markets/stocks/news/global-stocks-hold-near-record-silver-at-all-time-high/articleshow/126222247.cms,2025-12-29 06:21:12 IST,"Global stocks hovered near record highs amid light trading, while silver surged to a new peak, extending a historic year-end rally. Equities saw gains in Australia, with modest declines anticipated in Japan. Investors are closely watching AI trends and Federal Reserve interest rate policy for 2026 market direction.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Will Encora acquisition cement Coforge’s AI leadership in healthcare and hi-tech?,https://economictimes.indiatimes.com/markets/stocks/news/will-encora-acquisition-cement-coforges-ai-leadership-in-healthcare-and-hi-tech/articleshow/126222169.cms,2025-12-29 05:59:27 IST,"Coforge is acquiring California-based Encora for $2.35 billion, bolstering its AI capabilities in healthcare and hi-tech, and expanding its US market presence. This strategic move aims to position Coforge for future growth, with the combined entity projected to significantly increase revenue and potentially become India's seventh-largest software exporter.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Nifty faces 26,200 hurdle; indicators flag uncertainty",https://economictimes.indiatimes.com/markets/stocks/news/nifty-faces-26200-hurdle-indicators-flag-uncertainty/articleshow/126222095.cms,2025-12-29 05:41:31 IST,"Nifty 50 is consolidating near all-time highs, facing resistance at 26,200, indicating near-term indecision. Analysts suggest range-bound trade with sector-specific opportunities, while Bank Nifty shows signs of potential profit-booking. Experts recommend specific stock bets like Lupin and Varun Beverages for potential gains.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Stock Radar: Manappuram Finance hits fresh record highs in December; will the rally continue in 2026?,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-manappuram-finance-hits-fresh-record-highs-in-december-will-the-rally-continue-in-2026/articleshow/126186892.cms,2025-12-29 05:00:00 IST,"Manappuram Finance broke out of a three-month consolidation to hit fresh record highs, signalling further upside. Strong volumes, bullish MACD, and a Supertrend buy trigger support momentum. Analysts highlight accumulation near 290 and improving gold-loan demand. Traders may buy with a target of Rs 330 in 2–3 weeks and a stop loss below Rs 305.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Bandhan Bank sells Rs 3,212 crore microfinance bad loans to ARCIL",https://economictimes.indiatimes.com/markets/stocks/news/bandhan-bank-sells-rs-3212-crore-microfinance-bad-loans-to-arcil/articleshow/126222128.cms,2025-12-29 00:25:23 IST,"Bandhan Bank has sold a ₹3,212 crore microfinance non-performing loan portfolio to ARCIL for ₹578 crore. This sale followed a Swiss Challenge process. The bank also initiated a process to sell an additional ₹3,720 crore in loans. These actions come as the bank's asset quality faced pressure from the microfinance segment.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Finance ministry to take a relook at crop insurance plan,https://economictimes.indiatimes.com/markets/stocks/news/finance-ministry-to-take-a-relook-at-crop-insurance-plan/articleshow/126222120.cms,2025-12-29 00:19:51 IST,"The finance ministry is reviewing the Pradhan Mantri Fasal Bima Yojana's cup-and-cap model. This comes as crop insurance business declines, with premium collections expected to fall significantly. Large states are shifting to the cup-and-cap model, which limits insurer risk and profitability. The review aims to ensure the scheme's long-term sustainability and effective farmer coverage.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Banks urge RBI to extend trade relief measures beyond December,https://economictimes.indiatimes.com/markets/stocks/news/banks-urge-rbi-to-extend-trade-relief-measures-beyond-december/articleshow/126222033.cms,2025-12-29 00:14:43 IST,Banks are asking the Reserve Bank of India for more time on loan relief for exporters. The current scheme ends this month. Exporters face ongoing challenges from global trade issues. Banks believe the real impact of these issues will be seen next quarter. An extension would offer a crucial safety net for exporters.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Chicago wheat futures slip after Zelenskiy-Trump peace talks,https://www.livemint.com/market/commodities/chicago-wheat-futures-slip-after-zelenskiy-trump-peace-talks-11766971213415.html,2025-12-29 06:50:12 IST,GLOBAL-GRAINS/:GRAINS-Chicago wheat futures slip after Zelenskiy-Trump peace talks,https://www.livemint.com/rss/markets
