title,link,published,summary,source
Come wedding season and jewellery stocks do the Jig,https://economictimes.indiatimes.com/markets/stocks/news/come-wedding-season-and-jewellery-stocks-do-the-jig/articleshow/130295951.cms,2026-04-16 07:38:40 IST,Jewellery company shares have seen significant gains. Strong demand from weddings and festivals is driving sales. Consumers are spending despite high gold prices. Same-store sales are showing sharp improvements. Companies are expanding their store networks. International operations are also performing well. This positive trend is expected to continue.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Market swings trigger retail rethink, active client base of top brokers falls",https://economictimes.indiatimes.com/markets/stocks/news/market-swings-trigger-retail-rethink-active-client-base-of-top-brokers-falls/articleshow/130295722.cms,2026-04-16 07:00:43 IST,"Active client numbers across India’s top brokerages fell in FY26, indicating a slowdown in retail trading activity amid volatile markets. Six of the top 10 brokers reported a year-on-year decline, with Upstox seeing the steepest drop at 27.64%, followed by Zerodha and Motilal Oswal. Angel One, HDFC Securities, and Kotak Securities also posted declines.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Fresh hopes of US-Iran talks bring peace to D-Street,https://economictimes.indiatimes.com/markets/stocks/news/fresh-hopes-of-us-iran-talks-bring-peace-to-d-street/articleshow/130295627.cms,2026-04-16 06:45:43 IST,"Trump, according to news reports, said that the US-Iran peace talks could resume in Islamabad over the next two days following the breakdown of negotiations over the weekend. Earlier, the US said its navy had blockaded traffic to and from Iranian ports in response to Iran’s disruption of shipping through the Strait of Hormuz.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
GIFT Nifty signals a positive start; here’s the trading setup for the day,https://economictimes.indiatimes.com/markets/stocks/news/gift-nifty-signals-a-positive-start-heres-the-trading-setup-for-the-day/articleshow/130295545.cms,2026-04-16 06:35:17 IST,"Going forward, the 24,250–24,300 zone is likely to act as a crucial resistance band. A decisive move above this range could trigger a rally towards 24,750–24,800. On the other hand, failure to break above 24,300 convincingly may lead to renewed selling pressure in the market.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Stocks in news: Wipro, Angel One, HDB Financial, Clean Max Enviro, M&amp;M",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-wipro-angel-one-hdb-financial-clean-max-enviro-mm/articleshow/130295515.cms,2026-04-16 06:22:17 IST,"In today's trade, shares of Wipro, Angel One, HDB Financial, Clean Max Enviro, M&amp;M among others will be in focus due to various news developments and fourth quarter results.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Stock Radar: Why Power Grid stock is a medium-term buy? Holds above 50-weeks moving average,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-why-power-grid-stock-is-a-medium-term-buy-holds-above-50-weeks-moving-average/articleshow/130285524.cms,2026-04-16 05:00:00 IST,Power Grid Corporation of India stock is trading above a key resistance level.  The stock broke a downward trendline in February 2026. Experts suggest accumulating the stock.  A target of Rs 340 is possible in the next 2-3 months.  Traders can place a stop loss below Rs 278.  The stock shows renewed buying interest.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Raja Venkatraman, MarketSmith recommend five stocks for 16 April",https://www.livemint.com/market/stock-market-news/raja-venkatraman-marketsmith-recommend-five-stocks-for-16-april-11776303434271.html,2026-04-16 07:48:39 IST,"Nifty 50 and Sensex reached a one-month peak on April 15, driven by optimism from U.S.-Iran talks and declining oil prices. Analysts suggest buying BEML, DCM Shriram, Balaji Amines, HDFC Asset Management, and CG Power for potential investment opportunities.",https://www.livemint.com/rss/markets
"Nifty 50, Sensex prediction today: Check how Indian stock market is expected to trade on 16 April",https://www.livemint.com/market/stock-market-news/nifty-50-sensex-prediction-today-check-how-indian-stock-market-is-expected-to-trade-on-16-april-11776303874963.html,2026-04-16 07:27:49 IST,"Nifty 50, Sensex prediction today: The trends on Gift Nifty also indicate a positive start for the Indian benchmark index. The Gift Nifty was trading around 24,303 level, a premium of nearly 66 points from the Nifty futures’ previous close.",https://www.livemint.com/rss/markets
"From Gift Nifty, gold prices to Nasdaq, S&amp;P rally: 10 key things that changed for Indian stock market overnight",https://www.livemint.com/market/stock-market-news/from-gift-nifty-gold-prices-to-nasdaq-s-p-rally-10-key-things-that-changed-for-indian-stock-market-overnight-11776302621556.html,2026-04-16 07:07:41 IST,"Gift Nifty was trading around 24,314 level, a premium of nearly 77 points from the Nifty futures’ previous close, indicating a positive start for the Indian stock market indices.",https://www.livemint.com/rss/markets
"Stocks to watch: Wipro, HDFC AMC, GMR Airports among 10 shares in focus today",https://www.livemint.com/market/stock-market-news/stocks-to-watch-wipro-hdfc-amc-gmr-airports-among-10-shares-in-focus-today-11776274477480.html,2026-04-16 06:54:35 IST,"Stock market today: Indian benchmark indices, Sensex and Nifty 50, are likely to open on a positive note on Thursday. Here's a list of ten stocks that will remain in focus today amid renewed hopes on the US-Iran war ceasefire talks.",https://www.livemint.com/rss/markets
Breakout stocks to buy or sell: Sumeet Bagadia recommends five shares to buy today - 16 April 2026,https://www.livemint.com/market/stock-market-news/breakout-stocks-to-buy-or-sell-sumeet-bagadia-recommends-five-shares-to-buy-today-16-april-2026-11776271936051.html,2026-04-16 06:26:37 IST,The Indian stock market ended Monday's session with sharp gains. Sumeet Bagadia of Choice Broking recommends five breakout stocks to buy today.,https://www.livemint.com/rss/markets
Retail investors keep getting burned in the stock market. They’re piling in again now.,https://www.livemint.com/market/retail-investors-keep-getting-burned-in-the-stock-market-they-re-piling-in-again-now-11776300643011.html,2026-04-16 06:23:06 IST,The little guy tends to invest in stocks in bull markets and get crushed in bear markets.,https://www.livemint.com/rss/markets
Stocks to trade: Raja Venkatraman recommends 3 stocks for 16 April,https://www.livemint.com/market/stock-market-news/stocks-to-trade-raja-venkatraman-three-stocks-16-april-nifty-sensex-11776269650608.html,2026-04-16 06:01:05 IST,Market expert Raja Venkatraman shares his top stock picks for 16 April. Here’s his technical outlook and trade strategy.,https://www.livemint.com/rss/markets
"Sebi working group eyes custodians, digitization to revive stock lending",https://www.livemint.com/market/sebi-working-group-eyes-custodians-digitization-to-revive-stock-lending-11776240512439.html,2026-04-16 06:00:45 IST,Sebi working group discussions were focused on increasing institutional participation through custodians to strengthen stock lending borrowing scheme at first meeting.,https://www.livemint.com/rss/markets
Stock recommendations for 16 April from MarketSmith India,https://www.livemint.com/market/stock-market-news/stock-recommendations-for-16-april-from-marketsmith-india-11776273202040.html,2026-04-16 06:00:45 IST,"MarketSmith India reveals its top stock recommendations for today, 16 April. Get expert insights into the best-performing stocks to guide your investment decisions.",https://www.livemint.com/rss/markets
Former Tata Trustee Mehli Mistry wants an administrator to run Tata Trusts,https://www.livemint.com/companies/former-tata-trustee-mehli-mistry-wants-an-administrator-to-run-tata-trusts-noel-chandrasekaran-11776259306739.html,2026-04-16 06:01:05 IST,Mistry challenged the votes cast by Venu Srinivasan and Vijay Singh that led to his ouster in October; questioned Tata Trusts chair Noel Tata's objection to reappointing N. Chandrasekaran as Tata Sons chair; highlighted what he claims is a procedural flaw in Noel's appointment as the Trusts chair.,https://www.livemint.com/rss/companies
"More than rooms: India’s hotels load up on restaurants, banquets and spas",https://www.livemint.com/companies/news/india-hotels-overbuilt-amenities-weddings-demand-report-11776240209652.html,2026-04-16 06:00:25 IST,"Hotel stays in India are becoming bundled experiences. A room is only one part of what is being paid for. As long as demand continues to favour these full-service formats, and hotels continue to build around them, room rates are unlikely to ease.",https://www.livemint.com/rss/companies
"After a decade of bankruptcy law, top conglomerates Adani, JSW, Reliance, Tata emerge as biggest winners",https://www.livemint.com/companies/after-a-decade-of-bankruptcy-law-top-conglomerates-adani-jsw-reliance-tata-emerge-as-biggest-winners-11776247875439.html,2026-04-16 05:31:05 IST,"Together, these four conglomerates acquired companies that accounted for nearly a quarter of the total admitted claims of  ₹13 trillion under the corporate insolvency resolution process of the Insolvency and Bankruptcy Code as of December 2025",https://www.livemint.com/rss/companies
Slice shifts focus to secured loans in fintech-to-bank pivot,https://www.livemint.com/companies/news/slice-bank-shifts-to-secured-loans-growth-plan-rajan-bajaj-11776255940511.html,2026-04-16 05:30:45 IST,"The startup that built its name on easy consumer credit is undergoing a radical makeover as a regulated bank, trading its risky roots for a very different kind of future.",https://www.livemint.com/rss/companies
Suraj Estate shares jump 15% on Dadar land acquisition deal in Mumbai; co eyes Rs 100 crore GDV,https://economictimes.indiatimes.com/markets/stocks/news/suraj-estate-shares-jump-15-on-dadar-land-acquisition-deal-in-mumbai-co-eyes-rs-100-crore-gdv/articleshow/130298232.cms,2026-04-16 10:44:13 IST,"Suraj Estate Developers’ shares rose sharply on Thursday after the company acquired a Dadar (West) land parcel valued for a project with Rs 100 crore GDV. The Rs 18 crore acquisition strengthens its South-Central Mumbai pipeline, with management saying the deal boosts medium-term revenue visibility and long-term growth.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Global exchange operators no match to multibagger MCX's 150% returns. What is keeping investors hooked?,https://economictimes.indiatimes.com/markets/stocks/news/global-exchange-operators-no-match-to-multibagger-mcxs-150-returns-what-is-keeping-investors-hooked/articleshow/130298103.cms,2026-04-16 10:33:55 IST,"MCX has delivered over 150% returns in a year, far outperforming global exchange operators, as structural reforms, rising derivatives volumes and strong retail participation boost its earnings outlook. Experts say its monopoly in commodity derivatives and improving operational performance continue to fuel investor interest despite stretched valuations.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Iran war premium: 10 marquee stocks BNP Paribas told investors to buy for up to 77% returns,https://economictimes.indiatimes.com/markets/stocks/news/iran-war-premium-10-marquee-stocks-bnp-paribas-told-investors-to-buy-for-up-to-77-returns/slideshow/130298047.cms,2026-04-16 10:21:22 IST,,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
RailTel shares rocket 25% in just 2 days! What’s triggering this massive surge?,https://economictimes.indiatimes.com/markets/stocks/news/railtel-shares-rocket-25-in-just-2-days-whats-triggering-this-massive-surge/articleshow/130297729.cms,2026-04-16 10:01:43 IST,"RailTel shares jumped 25% in two days after landing fresh orders worth over Rs 700 crore, including major tunnel communication projects from RVNL and a UP Police recruitment services contract. The strong order pipeline and steady execution outlook have boosted investor sentiment.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Siemens among 5 F&amp;O stocks with surge in futures open interest,https://economictimes.indiatimes.com/markets/stocks/news/siemens-among-5-fo-stocks-with-surge-in-futures-open-interest/slideshow/130297705.cms,2026-04-16 09:55:43 IST,"Futures open interest in several NSE F&amp;O stocks saw a sharp uptick as of April 15, with five counters registering over 15% growth compared to the previous session, signalling fresh position build-up. Stocks like Godfrey Phillips India, Motilal Oswal Financial Services, Siemens, Force Motors and Astral led the surge, indicating increased trader participation and heightened activity in the futures segment.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
