title,link,published,summary,source
"Sensex, Nifty slide nearly 1% as falling rupee, global tensions spark risk-off trade",https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-slide-nearly-1-as-falling-rupee-global-tensions-spark-risk-off-trade/articleshow/127348656.cms,2026-01-24 06:33:42 IST,"Indian stock markets ended a difficult week with a significant drop on Friday. The rupee hit new record lows, and global tensions fueled investor caution. Shares of Adani Group companies saw a sharp decline. Broader markets also experienced substantial losses. Investors are concerned about global uncertainty and potential conflicts.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Three more global companies set to hop on India’s GCC train,https://economictimes.indiatimes.com/markets/stocks/news/three-more-global-companies-set-to-hop-on-indias-gcc-train/articleshow/127348472.cms,2026-01-24 06:00:00 IST,"Videotelephony firm Zoom, telecom giant T-Mobile and low-cost airline Southwest Airlines are among the latest global companies considering the establishment of global capability centres (GCCs) in India, said people aware of the matter, adding that they are in talks with several states toward this end.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"HAL, BEL, Paras Defence to Bharat Dynamics — experts recommend defence stocks to buy ahead of Budget 2026",https://www.livemint.com/market/stock-market-news/hal-bel-paras-defence-to-bharat-dynamics-experts-recommend-defence-stocks-to-buy-ahead-of-budget-2026-11769192361035.html,2026-01-24 06:00:55 IST,"Budget 2026: Amid geopolitical tension and trade war like situation, the market experts expect rise in defence expenditure in Nirmala Sitharaman's Budget speech on February 1",https://www.livemint.com/rss/markets
Buy or sell: Trade guide for Nifty 50 to Sensex — Sumeet Bagadia recommends three stocks to buy on Monday,https://www.livemint.com/market/stock-market-news/buy-or-sell-trade-guide-for-nifty-50-to-sensex-sumeet-bagadia-recommends-three-stocks-to-buy-on-monday-11769189580755.html,2026-01-24 05:01:14 IST,"Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday — HUL, Tech Mahindra, and ONGC",https://www.livemint.com/rss/markets
"Higher costs, capacity curbs weigh on IndiGo shares after Q3 show",https://economictimes.indiatimes.com/markets/stocks/news/higher-costs-capacity-curbs-weigh-on-indigo-shares-after-q3-show/articleshow/127352041.cms,2026-01-24 07:27:48 IST,"IndiGo's shares fell on Friday following a significant drop in quarterly profit. Brokerages offered mixed views, citing short-term challenges like rising costs and currency issues. However, many remain positive about the airline's long-term growth potential. Analysts project potential upside for the stock in the coming year, despite some caution regarding immediate future earnings.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Sebi accuses executives at EY, PwC of insider trading",https://economictimes.indiatimes.com/markets/stocks/news/sebi-accuses-executives-at-ey-pwc-of-insider-trading/articleshow/127351094.cms,2026-01-24 07:10:44 IST,"India's securities regulator has accused current and former executives from PwC, EY, Carlyle, and Advent. They allegedly breached insider trading rules concerning a 2022 Yes Bank share sale. The regulator claims unpublished price-sensitive information was shared, leading to unlawful gains. The notice follows an investigation into Yes Bank's share movements before a significant offering.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Adani Group stocks slide up to 14% on US SEC heat,https://economictimes.indiatimes.com/markets/stocks/news/adani-group-stocks-slide-up-to-14-on-us-sec-heat/articleshow/127350409.cms,2026-01-24 06:59:40 IST,Adani Group stocks saw a sharp decline on Friday. This followed news that the US SEC is seeking court permission to email summons to founder Gautam Adani and nephew Sagar Adani. Allegations involve fraud and a bribery plot. The group's market value dropped by over $9 billion. Investors are advised to wait for clarity.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
RBI lines up a big liquidity push amid rupee's slideshow,https://economictimes.indiatimes.com/markets/stocks/news/rbi-lines-up-a-big-liquidity-push-amid-rupees-slideshow/articleshow/127350000.cms,2026-01-24 06:52:44 IST,"The Reserve Bank of India has announced three liquidity-boosting measures, including open market operations and a dollar-rupee swap, totaling approximately ₹1.92 lakh crore. These actions aim to enhance system liquidity and support the transmission of previous rate cuts. Experts anticipate further liquidity injections in the coming months.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Stock market holiday: NSE, BSE to remain closed on Monday for Republic Day 2026",https://www.livemint.com/market/stock-market-news/stock-market-holiday-nse-bse-to-remain-closed-on-monday-for-republic-day-2026-11769222373200.html,2026-01-24 08:15:07 IST,"Indian stock markets will be closed on January 26, 2026, for Republic Day, resuming trading on January 27. The equity and currency markets are shut, but commodity derivatives will trade in the evening. India will observe 16 trading holidays in 2026, with the next on March 3 for Holi.",https://www.livemint.com/rss/markets
Stocks to buy under  ₹200: Nifty 50 to Sensex — Mehul Kothari of Anand Rathi recommends three shares to buy or sell,https://www.livemint.com/market/stock-market-news/stocks-to-buy-under-rs-100-nifty-50-to-sensex-mehul-kothari-of-anand-rathi-recommends-three-shares-to-buy-or-sell-11769186941592.html,2026-01-24 07:29:32 IST,"Stocks to buy under  ₹200: Mehul Kothari of Anand Rathi recommends three shares to buy or sell — IDBI Bank, IFCI, and Bank of India",https://www.livemint.com/rss/markets
