title,link,published,summary,source
Stock Radar: Indian Hotel stock breaks out from falling channel resistance on weekly charts; time to buy?,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-indian-hotel-stock-breaks-out-from-falling-channel-resistance-on-weekly-charts-time-to-buy/articleshow/131905757.cms,2026-06-23 05:00:00 IST,"Indian Hotels Company Ltd has broken out of a prolonged falling channel on weekly charts, signalling a potential uptrend. Analysts see the stock heading towards Rs 785 over the next 3-4 weeks, backed by strong momentum indicators, bullish moving average positioning, and a buy signal from the Supertrend indicator.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Retail traders may have lost over  ₹1 trillion in F&amp;O again in FY26,https://www.livemint.com/market/stock-market-news/retail-traders-india-f-o-options-derivative-trade-fy26-stock-markets-sebi-11782119255903.html,2026-06-23 05:30:31 IST,"Top brokers who submitted client profit and loss data on equity derivatives say that while the count of smaller investors could have fallen due to regulatory tightening, &amp;nbsp;overall losses would be similar to last fiscal year's  ₹1.05 trillion, a fact buttressed by exchange turnover data&amp;nbsp;",https://www.livemint.com/rss/markets
